ID,Year,Host,State,County,Country,Field,Form.ID,Serial_agar_dilution_for_creating_the_model_..N.20.,hyphal_tip..ht.,DNA.Extraction,lat,long,Size.of.field..acres.,Percentage.Affected,History,Plot,Number.of.Years,Fungicide.This.Year,Chemigation,Applied.for.White.Mold,Fungicide_current_season,molecule.s._current_season,company_current_season,Timing,Applications,Rate,Pre.2015.Fungicides,Number.of.Years.1,Fungicide_previous_seasons,molecule.s._previous_seasons,company_previous_seasons,Timing..Soybean,Notes,Apparently.low.sensitiviy,Group_MOA_current_season,Group_MOA_previous_seasons,Fungicide_status,Selection_fungicides,Source
593,2004,drybeans,CA,San Juan Bautista,USA,WM_nursery_11,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
594,2004,drybeans,CA,San Juan Bautista,USA,WM_nursery_11,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
595,2004,drybeans,CA,San Juan Bautista,USA,WM_nursery_11,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
596,2004,drybeans,CA,San Juan Bautista,USA,WM_nursery_11,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
597,2004,drybeans,CA,San Juan Bautista,USA,WM_nursery_11,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
598,2004,drybeans,CA,San Juan Bautista,USA,WM_nursery_11,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
599,2004,drybeans,CA,San Juan Bautista,USA,WM_nursery_11,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
600,2004,drybeans,CA,San Juan Bautista,USA,WM_nursery_11,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
601,2004,drybeans,CA,San Juan Bautista,USA,WM_nursery_11,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
602,2004,drybeans,Guerbigny,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
603,2004,drybeans,Guerbigny,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
604,2004,drybeans,Guerbigny,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
605,2004,drybeans,Guerbigny,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
606,2004,drybeans,Guerbigny,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
607,2004,drybeans,Guerbigny,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
608,2004,drybeans,Guerbigny,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
609,2004,drybeans,Guerbigny,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
610,2004,drybeans,Guerbigny,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
611,2004,drybeans,MI,Entrican,USA,WM_nursery_12,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
612,2004,drybeans,QUE,,guatemala,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
613,2004,drybeans,NE,Mitchell ,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
614,2005,lettuce,CA,Salinas Valley,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
615,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
616,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
617,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
618,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
619,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
620,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
621,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
622,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
623,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
624,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
625,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
626,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
627,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
628,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
629,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
630,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
631,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
632,2004,drybeans,,,mexico,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
633,2005,drybeans,NE,Scottsbluff,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
634,2005,drybeans,NE,Scottsbluff,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
635,2005,drybeans,NE,Mitchell ,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
636,2005,drybeans,NE,Mitchell ,USA,WM_nursery_13,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
637,2005,drybeans,NE,Mitchell ,USA,WM_nursery_13,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
638,2005,drybeans,NE,Mitchell ,USA,WM_nursery_13,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
639,2005,drybeans,NE,Mitchell ,USA,WM_nursery_13,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
640,2005,drybeans,NE,Mitchell ,USA,WM_nursery_13,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
641,2005,drybeans,NE,Mitchell ,USA,WM_nursery_13,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
642,2005,drybeans,NE,Mitchell ,USA,WM_nursery_13,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
643,2005,drybeans,NE,Mitchell ,USA,WM_nursery_13,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
644,2005,drybeans,NE,Mitchell ,USA,WM_nursery_13,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
645,2005,drybeans,WA,Prosser,USA,WM_nursery_14,,Yes,Yes,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Baseline
646,2005,drybeans,WA,Prosser,USA,WM_nursery_14,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
647,2005,drybeans,WA,Prosser,USA,WM_nursery_14,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
648,2005,drybeans,WA,Prosser,USA,WM_nursery_14,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
649,2005,drybeans,WA,Prosser,USA,WM_nursery_14,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
650,2005,drybeans,WA,Prosser,USA,WM_nursery_14,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
651,2005,drybeans,WA,Prosser,USA,WM_nursery_14,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
652,2005,drybeans,WA,Prosser,USA,WM_nursery_14,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
653,2005,drybeans,WA,Prosser,USA,WM_nursery_14,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
654,2005,drybeans,ND,Carrington,USA,WM_nursery_15,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
655,2005,drybeans,ND,Carrington,USA,WM_nursery_15,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
656,2005,drybeans,ND,Carrington,USA,WM_nursery_15,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
657,2005,drybeans,ND,Carrington,USA,WM_nursery_15,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
658,2005,drybeans,ND,Carrington,USA,WM_nursery_15,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
659,2005,drybeans,ND,Carrington,USA,WM_nursery_15,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
660,2005,drybeans,ND,Carrington,USA,WM_nursery_15,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
661,2005,drybeans,MI,Montcalm,USA,WM_nursery_16,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
662,2005,drybeans,MI,Montcalm,USA,WM_nursery_16,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
663,2005,drybeans,MI,Montcalm,USA,WM_nursery_16,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
664,2005,drybeans,MI,Montcalm,USA,WM_nursery_16,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
665,2005,drybeans,MI,Montcalm,USA,WM_nursery_16,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
666,2005,drybeans,MI,Montcalm,USA,WM_nursery_16,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
667,2005,drybeans,MI,Montcalm,USA,WM_nursery_16,,Yes,Yes,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Baseline
668,2005,drybeans,MI,Montcalm,USA,WM_nursery_16,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
669,2005,drybeans,MI,Montcalm,USA,WM_nursery_16,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
670,2005,drybeans,MN,Rosemount,USA,WM_nursery_17,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
671,2005,drybeans,SK,Saskatoon,canada,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
672,2005,drybeans,MI,Gratiot,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
673,2005,drybeans,CA,San Juan Bautista,USA,WM_nursery_18,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
674,2005,drybeans,CA,San Juan Bautista,USA,WM_nursery_18,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
675,2005,drybeans,CA,San Juan Bautista,USA,WM_nursery_18,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
676,2005,drybeans,CA,San Juan Bautista,USA,WM_nursery_18,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
677,2005,drybeans,CA,San Juan Bautista,USA,WM_nursery_18,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
678,2005,drybeans,CA,San Juan Bautista,USA,WM_nursery_18,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
679,2005,drybeans,CA,San Juan Bautista,USA,WM_nursery_18,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
680,2005,drybeans,CA,San Juan Bautista,USA,WM_nursery_18,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
681,2005,drybeans,CA,San Juan Bautista,USA,WM_nursery_18,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
682,2005,drybeans,Guerbigny ,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
683,2005,drybeans,Guerbigny ,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
684,2005,drybeans,Guerbigny ,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
685,2005,drybeans,Guerbigny ,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
686,2005,drybeans,Guerbigny ,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
687,2005,drybeans,Guerbigny ,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
688,2005,drybeans,Guerbigny ,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
689,2005,drybeans,Guerbigny ,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
690,2005,drybeans,Guerbigny ,,france,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
691,2006,drybeans,NE,Mitchell,USA,WM_nursery_19,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
692,2006,drybeans,NE,Mitchell,USA,WM_nursery_19,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
693,2006,drybeans,NE,Mitchell,USA,WM_nursery_19,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
694,2006,drybeans,NE,Mitchell,USA,WM_nursery_19,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Baseline
695,2006,drybeans,NE,Mitchell,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
696,2007,drybeans,ID,,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
697,2007,drybeans,WA,Othello,USA,,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
698,2007,drybeans,ND,Red River Valley,USA,WM_production_1,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Farmer fields
699,2007,drybeans,ND,Red River Valley,USA,WM_production_1,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Farmer fields
700,2007,drybeans,ND,Red River Valley,USA,WM_production_1,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
701,2007,drybeans,ND,Red River Valley,USA,WM_production_1,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
702,2007,drybeans,ND,Red River Valley,USA,WM_production_1,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
703,2007,drybeans,ND,Red River Valley,USA,WM_production_1,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
704,2007,drybeans,ND,Red River Valley,USA,WM_production_1,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
705,2007,drybeans,ND,Red River Valley,USA,WM_production_1,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
706,2007,drybeans,ND,Red River Valley,USA,WM_production_1,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
707,2007,drybeans,ND,Red River Valley,USA,WM_production_1,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
708,2007,drybeans,ND,Red River Valley,USA,WM_production_1,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
709,2007,drybeans,ND,Red River Valley,USA,WM_production_1,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
710,2007,drybeans,ND,Red River Valley,USA,WM_production_2,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Farmer fields
711,2007,drybeans,ND,Red River Valley,USA,WM_production_2,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,tested,no_selected,Farmer fields
712,2007,drybeans,ND,Red River Valley,USA,WM_production_2,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
713,2007,drybeans,ND,Red River Valley,USA,WM_production_2,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
714,2007,drybeans,ND,Red River Valley,USA,WM_production_2,,No,No,No DNA extraction,NA,NA,,,,,,,,,unknown,unknown,NA,,NA,NA,,,unknown,unknown,NA,,,,unknown,unknown,no_tested,no_selected,Farmer fields
