Collection_ID,Year,Host,State,County,Country,Field,Form ID,Serial_agar_dilution_for_creating_the_model_ (N=20),Origin,hyphal_tip (ht),DNA Extraction,lat,long,Size of field (acres),Percentage Affected ,History,Number of Years,Fungicide This Year,Chemigation,Applied for White Mold,Fungicide_current_season,molecule(s)_current_season,company_current_season,Timing,Applications,Rate,Pre-2015 Fungicides,Number of Years,Fungicide_previous_seasons,molecule(s)_previous_seasons,company_previous_seasons,Timing: Soybean,Notes,Apparently low sensitiviy
743,2007,drybeans,CO,Eaton,USA,WM_production_6,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
744,2007,drybeans,CO,Eaton,USA,WM_production_6,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
745,2007,drybeans,MI,Filion,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
746,2007,drybeans,NE,Mitchell,USA,WM_production_7,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
747,2007,drybeans,NE,Mitchell,USA,WM_production_7,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
748,2007,drybeans,NE,Mitchell,USA,WM_production_7,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
749,2007,drybeans,NE,Mitchell,USA,WM_production_7,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
750,2007,drybeans,NE,Mitchell,USA,WM_production_7,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
751,2007,drybeans,NE,Scottsbluff,USA,WM_production_8,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
752,2007,drybeans,NE,Scottsbluff,USA,WM_production_8,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
753,2007,drybeans,NE,Scottsbluff,USA,WM_production_8,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
754,2007,drybeans,NE,Scottsbluff,USA,WM_production_8,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
755,2007,drybeans,NE,Scottsbluff,USA,WM_production_8,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
756,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
757,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
758,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
759,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
760,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
762,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
763,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
764,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
765,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
766,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
767,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
768,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
769,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
770,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
771,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
772,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
773,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
774,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
775,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
776,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
777,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
778,2007,drybeans,WA,Prosser,USA,WM_production_9,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
779,2008,drybeans,SIN,Guamuchil,mexico,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
780,2008,drybeans,NE,Scottsbluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
781,2008,drybeans,NE,Scottsbluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
782,2008,drybeans,NE,Scottsbluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
783,2008,drybeans,NE,Scottsbluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
784,2008,drybeans,NE,Scottsbluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
785,2008,drybeans,NE,Scottsbluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
786,2008,drybeans,WA,Paterson,USA,WM_production_10,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
787,2008,drybeans,WA,Paterson,USA,WM_production_10,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
788,2008,drybeans,WA,Paterson,USA,WM_production_10,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
789,2008,drybeans,WA,Paterson,USA,WM_production_10,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
790,2008,drybeans,WA,Paterson,USA,WM_production_10,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
791,2008,drybeans,WA,Paterson,USA,WM_production_10,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
792,2008,drybeans,WA,Paterson,USA,WM_production_10,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
793,2008,drybeans,WA,Paterson,USA,WM_production_10,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
794,2008,drybeans,WA,Paterson,USA,WM_production_10,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
795,2008,drybeans,WA,Paterson,USA,WM_production_10,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
796,2008,drybeans,WA,Paterson,USA,WM_production_10,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
797,2008,drybeans,WA,Paterson,USA,WM_production_10,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
798,2008,drybeans,MI,East Lansing ,USA,WM_nursery_20,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
799,2008,drybeans,MI,East Lansing ,USA,WM_nursery_20,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
800,2008,drybeans,MI,East Lansing ,USA,WM_nursery_20,,Yes,Survey,Yes,No,,,,,,,,,,,,,,,,,,,,,,,
801,2008,drybeans,MI,East Lansing ,USA,WM_nursery_20,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
802,2008,drybeans,MI,East Lansing ,USA,WM_nursery_20,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
803,2008,drybeans,MI,East Lansing ,USA,WM_nursery_20,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
804,2008,drybeans,MI,East Lansing ,USA,WM_nursery_20,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
805,2008,drybeans,MI,East Lansing ,USA,WM_nursery_20,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
806,2008,drybeans,MI,East Lansing ,USA,WM_nursery_20,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
807,2008,drybeans,MI,East Lansing ,USA,WM_nursery_20,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
808,2008,drybeans,MI,East Lansing ,USA,WM_nursery_20,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
809,2008,drybeans,MI,East Lansing ,USA,WM_nursery_20,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
810,2008,drybeans,MI,Tuscola,USA,WM_production_11,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
811,2008,drybeans,MI,Tuscola,USA,WM_production_11,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
812,2008,drybeans,MI,Tuscola,USA,WM_production_11,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
813,2008,drybeans,MI,Tuscola,USA,WM_production_11,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
814,2008,drybeans,MI,Huron,USA,WM_production_12,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
815,2008,drybeans,MI,Huron,USA,WM_production_12,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
816,2008,drybeans,MI,Huron,USA,WM_production_12,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
817,2008,drybeans,MI,Sanilac,USA,WM_production_13,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
818,2008,drybeans,MI,Sanilac,USA,WM_production_13,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
819,2008,drybeans,MI,Sanilac,USA,WM_production_13,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
820,2009,sunflower,ND,Grafton ,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
821,2009,sunflower,MN,Fosston,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
822,2009,sunflower,ND,Sheyenne,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
823,2009,sunflower,MN,Crookston,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
824,2008,drybeans,NE,Scottsbluff,USA,WM_nursery_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
825,2008,drybeans,NE,Scottsbluff,USA,WM_nursery_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
826,2008,drybeans,NE,Scottsbluff,USA,WM_nursery_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
827,2008,drybeans,NE,Scottsbluff,USA,WM_nursery_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
828,2008,drybeans,NE,Scottsbluff,USA,WM_nursery_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
829,2008,drybeans,NE,Scottsbluff,USA,WM_nursery_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
830,2008,drybeans,NE,Scottsbluff,USA,WM_nursery_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
831,2008,drybeans,NE,Scottsbluff,USA,WM_nursery_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
832,2008,drybeans,NE,Scottsbluff,USA,WM_nursery_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
833,2008,drybeans,NE,Scottsbluff,USA,WM_nursery_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
834,2008,soybeans,NE,Auburn,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
835,2009,drybeans,NE,Scottsbluff,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
836,2009,drybeans,MI,Montcalm,USA,WM_nursery_22,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
837,2009,drybeans,MI,Montcalm,USA,WM_nursery_22,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
838,2009,drybeans,MI,Montcalm,USA,WM_nursery_22,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
839,2009,drybeans,MI,East Lansing,USA,WM_nursery_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
840,2009,drybeans,MI,East Lansing ,USA,WM_nursery_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
841,2009,drybeans,MI,East Lansing ,USA,WM_nursery_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
842,2009,drybeans,MI,East Lansing ,USA,WM_nursery_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
843,2009,drybeans,MI,East Lansing ,USA,WM_nursery_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
844,2009,drybeans,MI,East Lansing ,USA,WM_nursery_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
845,2009,drybeans,MI,East Lansing ,USA,WM_nursery_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
846,2009,drybeans,MI,East Lansing ,USA,WM_nursery_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
847,2009,drybeans,MI,East Lansing ,USA,WM_nursery_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
848,2009,drybeans,MI,Sebawaning ,USA,WM_production_14,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
849,2009,drybeans,MI,East Lansing,USA,WM_production_15,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
850,2009,drybeans,MI,Munger,USA,WM_production_16,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
851,2009,drybeans,MI,Tuscola,USA,WM_production_17,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
852,2009,drybeans,MI,Huron,USA,WM_production_18,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
853,2009,drybeans,MI,Huron,USA,WM_production_18,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
854,2009,drybeans,MI,Tuscola,USA,WM_production_19,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
855,2009,drybeans,MI,Caro,USA,WM_production_20,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
856,2008,sunflower,ND,Fargo,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
857,2009,sunflower,ND,Fargo,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
858,2010,drybeans,NE,Mitchell,USA,WM_production_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
859,2010,drybeans,NE,Mitchell,USA,WM_production_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
860,2010,drybeans,NE,Mitchell,USA,WM_production_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
861,2010,drybeans,NE,Mitchell,USA,WM_production_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
862,2010,drybeans,NE,Mitchell,USA,WM_production_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
863,2010,drybeans,NE,Mitchell,USA,WM_production_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
864,2010,drybeans,NE,Mitchell,USA,WM_production_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
865,2010,drybeans,NE,Mitchell,USA,WM_production_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
866,2010,drybeans,NE,Mitchell,USA,WM_production_21,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
867,2010,drybeans,CO,Lucerne,USA,WM_production_22,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
868,2010,drybeans,CO,Lucerne,USA,WM_production_22,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
869,2010,drybeans,CO,Lucerne,USA,WM_production_22,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
870,2010,drybeans,CO,Lucerne,USA,WM_production_22,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
871,2010,drybeans,CO,Lucerne,USA,WM_production_22,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
872,2010,drybeans,CO,Lucerne,USA,WM_production_22,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
873,2010,drybeans,CO,Lucerne,USA,WM_production_22,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
874,2010,drybeans,CO,Greeley,USA,WM_production_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
875,2010,drybeans,CO,Greeley,USA,WM_production_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
876,2010,drybeans,CO,Greeley,USA,WM_production_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
877,2010,drybeans,CO,Greeley,USA,WM_production_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
878,2010,drybeans,CO,Greeley,USA,WM_production_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
879,2010,drybeans,CO,Greeley,USA,WM_production_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
880,2010,drybeans,CO,Greeley,USA,WM_production_23,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
881,2010,drybeans,CO,Eaton,USA,WM_production_24,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
882,2010,drybeans,CO,Eaton,USA,WM_production_24,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
883,2010,drybeans,CO,Eaton,USA,WM_production_24,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
884,2010,drybeans,CO,Eaton,USA,WM_production_24,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
885,2010,drybeans,CO,Eaton,USA,WM_production_24,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
886,2010,drybeans,CO,Eaton,USA,WM_production_24,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
887,2010,drybeans,CO,Eaton,USA,WM_production_24,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
888,2010,drybeans,ND,Trail,USA,WM_production_25,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
889,2010,drybeans,ND,Trail,USA,WM_production_25,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
890,2010,drybeans,ND,Trail,USA,WM_production_25,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
891,2010,drybeans,ND,Trail,USA,WM_production_25,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
892,2010,drybeans,ND,Trail,USA,WM_production_25,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
893,2010,drybeans,ND,Grand Forks,USA,WM_production_26,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
894,2010,drybeans,ND,Pembina,USA,WM_production_27,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
895,2010,drybeans,ND,Pembina,USA,WM_production_27,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
896,2010,drybeans,ND,Pembina,USA,WM_production_27,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
897,2010,drybeans,ND,Pembina,USA,WM_production_27,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
898,2010,drybeans,ND,Walsh,USA,WM_production_28,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
899,2010,drybeans,ND,Walsh,USA,WM_production_28,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
900,2010,drybeans,ND,Walsh,USA,WM_production_28,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
901,2010,drybeans,ND,Walsh,USA,WM_production_28,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
902,2010,drybeans,ND,Pembina,USA,WM_production_27,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
903,2010,drybeans,ND,Pembina,USA,WM_production_27,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
904,2010,drybeans,ND,Pembina,USA,WM_production_27,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
905,2010,drybeans,ND,Trail,USA,WM_production_25,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
906,2010,drybeans,ND,Trail,USA,WM_production_25,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
907,2010,drybeans,ND,Trail,USA,WM_production_25,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
908,2010,drybeans,ND,Grand Forks,USA,WM_production_26,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
909,2010,drybeans,ND,Grand Forks,USA,WM_production_26,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
910,2010,drybeans,ND,Grand Forks,USA,WM_production_26,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
911,2010,drybeans,ND,Trail,USA,WM_production_25,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
912,2010,drybeans,ND,Steele ,USA,WM_production_29,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
913,2010,drybeans,ND,Steele ,USA,WM_production_29,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
914,2010,drybeans,ND,Nelson,USA,WM_production_30,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
921,2011,drybeans,Kigali,,rwanda,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
922,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
923,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
924,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
925,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
926,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
927,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
928,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
929,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
930,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
931,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
932,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
933,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
934,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
935,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
936,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
937,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
938,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
939,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
940,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
941,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
942,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
943,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
944,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
945,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
946,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
947,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
948,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
949,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
950,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
951,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
952,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
953,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
954,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
955,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
956,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
957,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
958,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
959,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
960,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
961,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
962,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
963,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
964,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
965,2012,sunflower,birdseed,,USA,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
966,2011,drybeans,Kessenich ,,belgium,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
967,2007,drybeans,Elen,,belgium,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
968,2008,drybeans,Moshi,,tanzania,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
969,2011,drybeans,Peronne,,france,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
970,2011,drybeans,Loudéac,,france,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
971,2011,drybeans,Bordeaux-Hourtin,,france,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
972,2012,soybeans,,,brazil,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
973,2012,soybeans,BA,,brazil,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
973A,2012,soybeans,BA,,brazil,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
973B,2012,soybeans,BA,,brazil,,,No,Survey,No,No,,,,,,,,,,,,,,,,,,,,,,,
